,mse,mae,accuracy,log_loss,is,num_predictions
elo,0.257441,0.505945,41.92,0.708113,0.584615,198
glicko2,0.256406,0.505456,44.95,0.706007,0.553846,198
WinCount,0.308964,0.515922,46.97,0.834415,0.507692,198
