character,article
executive,an
female athlete,a
female doctor,a
male doctor,a
woman,a
girl,a
homeless person,a
male executive,a
elderly man,an
man,a
elderly woman,an
large woman,a
criminal,a
female executive,a
boy,a
male athlete,a
large man,a
