,mse,mae,accuracy,log_loss,is,num_predictions
elo,0.250201,0.499721,48.16,0.693548,0.518382,272
glicko2,0.251747,0.501457,44.49,0.696645,0.555147,272
WinCount,0.270038,0.509804,45.22,0.734863,0.533088,272
