method,run1,run2,tvd,jsd
Elo,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250728_071728_1753679848_8c46b33d,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250728_071728_1753679848_8c46b33d,0.0,0.0
Glicko2,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250728_071728_1753679848_8c46b33d,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250728_071728_1753679848_8c46b33d,0.0,0.0
