method,run1,run2,common_players,tvd,jsd,rank_edit_distance
Elo,together_google_gemma-3n-E4B-it_split80_10_20250727_224331_1753649011_d4eadfab_20250728_133702_1753702622_0d947102,together_google_gemma-3n-E4B-it_split80_10_20250727_224701_1753649221_efff7531_20250728_133700_1753702620_3af65586,17,0.01740126395783997,0.00032580752135330477,96
Glicko2,together_google_gemma-3n-E4B-it_split80_10_20250727_224331_1753649011_d4eadfab_20250728_133702_1753702622_0d947102,together_google_gemma-3n-E4B-it_split80_10_20250727_224701_1753649221_efff7531_20250728_133700_1753702620_3af65586,17,0.03930450643467771,0.0017214750301776125,90
WinCount,together_google_gemma-3n-E4B-it_split80_10_20250727_224331_1753649011_d4eadfab_20250728_133702_1753702622_0d947102,together_google_gemma-3n-E4B-it_split80_10_20250727_224701_1753649221_efff7531_20250728_133700_1753702620_3af65586,16,0.15240030480060962,0.02913593191135312,40
