method,run1,run2,tvd,jsd
Elo,run1,run2,0.0004308014672129712,1.8441985169896753e-07
Glicko2,run1,run2,0.00016690185130616153,2.340695450373718e-08
WinCount,run1,run2,0.024999999999999994,0.0006450208807705292
