,mse,mae,accuracy,log_loss,is,num_predictions
elo,0.260149,0.508938,41.1,0.713509,0.586957,73
glicko2,0.288521,0.528653,34.25,0.772074,0.65942,73
WinCount,0.320356,0.522363,49.32,0.89078,0.514493,73
