method,run1,run2,common_players,tvd,jsd,rank_edit_distance
Elo,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_split80_10_20250728_070502_1753679102_27daab70_20250728_133659_1753702619_9f73bac6,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250802_133818_1754134698_d1b95974,17,0.02658535395577071,0.0006815699451413876,108
Glicko2,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_split80_10_20250728_070502_1753679102_27daab70_20250728_133659_1753702619_9f73bac6,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250802_133818_1754134698_d1b95974,17,0.010274769268025223,0.00012003058572834311,102
WinCount,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_split80_10_20250728_070502_1753679102_27daab70_20250728_133659_1753702619_9f73bac6,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250802_133818_1754134698_d1b95974,17,0.04149666283637628,0.0017320589502799618,78
