,mse,mae,accuracy,log_loss,is,num_predictions
elo,0.252214,0.501496,50.62,0.697601,0.487013,81
glicko2,0.257398,0.504319,45.68,0.708024,0.538961,81
WinCount,0.286592,0.49433,46.05,0.78916,0.506944,76
