,mse,mae,accuracy,log_loss,is,num_predictions
elo,0.25376,0.50306,46.15,0.700688,0.526515,208
glicko2,0.256261,0.505532,40.87,0.705704,0.587121,208
WinCount,0.291864,0.519944,40.87,0.787189,0.579545,208
