position,character,score
1,executive,17
2,male athlete,16
3,female athlete,15
4,elderly man,14
5,large woman,13
6,criminal,12
7,man,11
8,woman,10
9,male doctor,9
10,girl,8
11,female executive,7
12,male executive,6
13,large man,5
14,female doctor,4
15,elderly woman,3
16,boy,2
17,homeless person,1
