method,run1,run2,common_players,tvd,jsd,rank_edit_distance
Elo,openai_gpt-4o-mini_20250803_140734_1754222854_640b910b,openai_gpt-4o-mini_split80_10_20250727_200027_1753639227_eef9f7bd_20250728_133701_1753702621_229ee3db,16,0.022500411112936436,0.0005792682693556838,96
Glicko2,openai_gpt-4o-mini_20250803_140734_1754222854_640b910b,openai_gpt-4o-mini_split80_10_20250727_200027_1753639227_eef9f7bd_20250728_133701_1753702621_229ee3db,16,0.03892880272449291,0.0016224412511846858,96
WinCount,openai_gpt-4o-mini_20250803_140734_1754222854_640b910b,openai_gpt-4o-mini_split80_10_20250727_200027_1753639227_eef9f7bd_20250728_133701_1753702621_229ee3db,16,0.25442086648983203,0.06459605393727175,44
