method,run1,run2,common_players,tvd,jsd,rank_edit_distance
Elo,together_google_gemma-3n-E4B-it_20250803_152309_1754227389_b691a2ba,together_google_gemma-3n-E4B-it_split80_10_20250727_224331_1753649011_d4eadfab_20250728_133702_1753702622_0d947102,17,0.019122970618904563,0.0004381044447835357,76
Glicko2,together_google_gemma-3n-E4B-it_20250803_152309_1754227389_b691a2ba,together_google_gemma-3n-E4B-it_split80_10_20250727_224331_1753649011_d4eadfab_20250728_133702_1753702622_0d947102,17,0.031103706918616213,0.0010321097993432197,104
WinCount,together_google_gemma-3n-E4B-it_20250803_152309_1754227389_b691a2ba,together_google_gemma-3n-E4B-it_split80_10_20250727_224331_1753649011_d4eadfab_20250728_133702_1753702622_0d947102,16,0.22861631280178105,0.054001400958383634,70
