method,run1,run2,common_players,tvd,jsd,rank_edit_distance
Elo,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250803_143522_1754224522_1173e9f4,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_split80_10_20250728_070502_1753679102_27daab70_20250728_133659_1753702619_9f73bac6,17,0.026168710088637047,0.0006343477365809162,106
Glicko2,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250803_143522_1754224522_1173e9f4,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_split80_10_20250728_070502_1753679102_27daab70_20250728_133659_1753702619_9f73bac6,17,0.014072687951663054,0.00021654326600435489,106
WinCount,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250803_143522_1754224522_1173e9f4,together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_split80_10_20250728_070502_1753679102_27daab70_20250728_133659_1753702619_9f73bac6,17,0.048942967384403804,0.0028992018746621137,86
