,mse,mae,accuracy,log_loss,is,num_predictions
elo,0.25513,0.504329,44.49,0.703444,0.555147,272
glicko2,0.252652,0.502221,45.22,0.698461,0.547794,272
WinCount,0.281658,0.515951,45.22,0.761346,0.555147,272
