,mse,mae,accuracy,log_loss,is,num_predictions
elo,0.261601,0.509113,36.75,0.716562,0.632743,117
glicko2,0.281152,0.522569,39.32,0.75763,0.606195,117
WinCount,0.283896,0.510569,50.94,0.766806,0.514706,106
