,mse,mae,accuracy,log_loss,is,num_predictions
elo,0.252428,0.50113,52.03,0.698062,0.481618,271
glicko2,0.252315,0.501316,47.23,0.69779,0.525735,271
WinCount,0.290162,0.50846,45.39,0.786031,0.547794,271
